level,term,minecraft_sentence,minecraft_translation
1,a,I need **a** crafting table to make tools.,我需要**一個**工作台來製作工具。
1,an,You need **an** apple to cure the zombie villager.,你需要**一個**蘋果來治癒殭屍村民。
1,am,I **am** mining for diamonds right now.,我現在**正在**挖掘鑽石。
1,are,Creepers **are** afraid of cats.,苦力怕**是**害怕貓的。
1,arm,My **arm** is tired from punching trees.,我的**手臂**因為揮拳打樹而感到疲累。
1,at,Meet me **at** the village well.,在村莊的水井**處**跟我會合。
1,baby,A **baby** zombie is faster than a normal one.,**嬰兒**殭屍比一般的殭屍跑得更快。
1,bad,The Wither gives you a **bad** effect.,凋靈會給你**不好的**狀態效果。
1,ball,Throw a snow**ball** to push the mob back.,丟一顆雪**球**把生物推回去。
1,bed,You cannot sleep in a **bed** when monsters are nearby.,當怪物在附近時，你不能睡在**床**上。
1,big,The Ravager is a very **big** beast.,劫毀獸是一隻非常**巨大的**野獸。
1,bird,A parrot is a colorful **bird** in the jungle.,鸚鵡是叢林裡色彩繽紛的**鳥**。
1,boy,Steve is the main **boy** character.,史蒂夫是主要的**男性**角色。
1,bus,"We travel by minecart, not by **bus**.",我們搭礦車旅行，而不是搭**公車**。
1,car,There is no **car** to drive in this world.,在這個世界裡沒有**車**可以開。
1,card,"Use a map, not a **card**, to find your way.",用地圖，而不是**卡片**，來尋找你的路。
1,cat,Tame a **cat** with raw fish.,用生魚馴服一隻**貓**。
1,come,Zombies **come** out at night.,殭屍在晚上**出**來。
1,cup,"I don't have a **cup**, just a bucket.",我沒有**杯子**，只有一個水桶。
1,desk,Put the book on the **desk**.,把書放在**書桌**上。
1,do,What do you want to **do** today?,你今天想要**做**什麼？
1,dog,Give the **dog** a bone to tame it.,給**狗**一根骨頭來馴服牠。
1,door,Zombies can break a wooden **door**.,殭屍可以打破木**門**。
1,ear,The Warden can hear you with its **ear**.,伏守者可以用牠的**耳朵**聽見你的聲音。
1,egg,Throw an **egg** to hatch a chicken.,丟一顆**蛋**來孵出小雞。
1,eight,You need **eight** cobblestones to make a furnace.,你需要**八**個鵝卵石來製作熔爐。
1,eye,The **Eye** of Ender leads to the stronghold.,終界之**眼**會指引到要塞。
1,fat,Pigs look a bit **fat** and cute.,豬看起來有點**胖**而且可愛。
